Item No,Revision,Operation No,Operation,Supplier Code,New Supplier Code,Lead Time,Transit Time,Price,Price Unit,Supplier Item No,Price Conversion,Cycle Time,Business Percentage,MRPFirm Days,MRPPlan Days,MRPForecast Days,UPCCode,Note,Sort Order,Container Reservation Required
01 Almond Extract,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Beef Front Quarter,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Cherries-Pitted,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Cornstarch,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Sugar,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Almond Extract,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Beef Front Quarter,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Cherries-Pitted,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Cornstarch,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Sugar,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Almond Extract,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Beef Front Quarter,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Cherries-Pitted,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Cornstarch,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Sugar,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Almond extract,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Beef Front Quarter,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Cherries-Pitted,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Cornstarch,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Sugar,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Almond Extract,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Beef Front Quarter,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Cherries-Pitted,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Cornstarch,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Sugar,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Almond Extract,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Beef Front Quarter,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Cherries-Pitted,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Cornstarch,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
