Item_No,Revision,Name,Item Type,Item Status,Item Group,Item Source,Product Type,Old Item ID,Weight,Recipe Effective Date,Grade,Description,Building Code,Standard Job Quantity,Minimum Job Quantity,Standard Order Quantity,Note,Engineer,Engineer2,Engineer3,Planner,Program Manager,Control Level,Recipe Expiration Date,Minimum Inventory Quantity,Lead Time,Scrap,Daily Pull,Area,Workcenter,Temper,Customer Supplied Material,Serialize,Job Consolidation Window,Maximum Inventory Quantity,Additional Documents,Other Note,MRBBreakpoint,Internal Note,Transfer Die No,Label Note,Side,Use DCP,Internal Approval Note,Unit,Drawing No,Lead Time Days,Minimum Order Quantity,Default Stock Location,Suppress Transmit EDI,Theoretical Weight,Freight Cost,Customs Value,Max Splits Prime Control Panel,Max Splits Prime Lift Entry,Max Splits Reject Control Panel,Max Splits Reject Lift Entry,Barcode Extension,Freight Cost Currency Code,Customs Value Currency Code,Customer Shipping Code,Suppress Receipt Transmission,Raw Material PONo,Batch Scrap Pieces,Job Creation Threshold,Quoted Job Quantity,Department Code,Batch Scrap Percent,Commodity Code,Cycle Frequency,Harmonized Tariff Code,Item Drawing Revision,Item Drawing Number,Allow Weighing,Allow Split Containers,Maximum Splits,Offal,Increased Inspection,Controlled Shipping1,Controlled Shipping2,Finished Item Buffer,Level Scheduled,Planning Group,Customer Code,Inventory Classification Code,Industry,Item Product Group,Ecommerce,Account No,Item Tax Code,Country of Origin,Quoted Lead Time,APQPChecklist No,Average Value,Customer Approval End Date,Customer Approval Note,Customer Approval Quantity,Customer Approval Start Date,Customer Approval Status,Dock Alert,Exclusive Use Rights Customer Code,Freight Classification Code,Freight Weight Class,Hold On Receipt,Internal Approval Quantity,Internal Approval Start Date,Internal Approval End Date,Internal Approval Status,Like Item No,Like Part Revision,LTANumber,Packing Group,Item Priority,Part Label Format,RPDisplay,Special Symbol,Supplier Part Level,Submission Date,Surcharge,Team,Tracking No Required,Transfer Company,UPCCode,Quality Advanced Planning Version,Container Type,Container Default,Container Active,Container Sort Order,Container UPCCode,Container Note,Container Standard Quantity,Container Variable Standard Quantity,BOMAllocation Variance,Reapplication Prevent,Release Auto Create,Source Load Split,Final Electrical Test,Deviation,Lot Required,Lot Replenishable,Lot Format Description,MRPDemand Level,Process Days,Direct Sales,Standard Pack Computed,Level Manually,Planning Placeholder,Excess Inventory,Excess Inventory Level,Release Over Receipt Threshold,BOM Substitution Allowed,Include In Job Set,Allergens
00 Almond Extract,,00 Almond Extract,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Cherries-Pitted,,00 Cherries-Pitted,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Cherry Pie,,00 Cherry Pie,Baked Goods,Inactive,,Manufactured,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Cherry Pie Filling,,00 Cherry Pie Filling,Baked Goods,Inactive,,Manufactured,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Cornstarch,,00 Cornstarch,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Lemon Juice,,00 Lemon Juice,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Pie Crust Bottom,,00 Pie Crust Bottom,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Pie Crust Top,,00 Pie Crust Top,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Sugar,,00 Sugar,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
00 Water,,00 Water,Ingredients,Inactive,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
01 Almond Extract,,01 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
01 Cherries-Pitted,,01 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
01 Cherry Pie,,01 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
01 Cherry Pie Filling,,01 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
01 Cornstarch,,01 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
01 Lemon Juice,,01 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
01 Pie Crust Bottom,,01 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
01 Pie Crust Top,,01 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
01 Sugar,,01 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
02 Almond Extract,,02 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
02 Cherries-Pitted,,02 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
02 Cherry Pie,,02 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
