Supplier Serial Number,Item,Rev,Operation,Material,Heat,Location,Status,Defect Type,Container Type,Quantity,Tare Weight,Gross Weight,Net Weight,From Container,Active,Note,Lot Number,Master Unit No,Special Instructions,Containers,Size,Length,Tracking No,Job Operation,Job Number,Shelf Date,Cost,Customer Code,Container Mill Status,Class,Mill Coil No,OSPCoil No,Mill Order No,Mill Item No,Theoretical Weight,Mill Weight,Heat Code,Received Heat No,Release Number,Shipper Number,SCACCode,Thickness,Width,EDIKey,Actual Quantity,Job No,Supplier No,Rescale Flag,Original Scale Weight,Original Length,Proof,Proof Volume,Manufacturer Item No,Manufacturer Item Revision,Accounting Job No
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Almond Extract,,Receive LBS,,,01 Dock 1,OK,,Box,10,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 Beef Front Quarter,,Receive LBS,,,01 Dock 1,OK,,Box,25,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
