Supplier Code,Supplier Name,Old Supplier Code,Supplier Status,Supplier Type,Address,City,State,Zip,Country,Phone,Fax,Email,Web Address,Remit Address,Remit City,Remit State,Remit Zip,Remit Country,Remit Phone,Remit Fax,Remit Email,Terms,Tax ID,Misc1099,DUNS No,Customer Account No,SCAC Code,Default FOB,Default Currency,Supplier Category,Default Account No,Payment Type,Bank Name,Bank Account No,Bank Routing No,Default Negotiated Place,EDI Mode Code,Note,Payment Status Code,Remit Name,Bank ID,Branch Transit No,Default Tax Code,Parent Supplier Code,Language Name,Supplier Group,Supplier Customer Code,Contact Note,Bank Address,Bank City,Bank Country,Bank State,Bank Zip,SWIFT No,IBAN No,Discount,Credit Limit,Auto Voucher,Payment Per Invoice,Invoice per Receipt,Auto Invoice Override,Default Carrier,Customs,Default Ship To,Default Ship Via,Default Freight Terms,Default PO Type,Freight Charge,Quality Audit Date,Quality Audit Note,Quality Score,Quality Score Date,Supplier Rating Code,Quality Note,Minority,Minority Council,Certificate No,Effective Date,Expiration Date,INCO Terms,Establishment No,Receipt Documentation Requirement,Dynamic_Printing_Locale_Identifier
01 Big Bang ,01 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
02 Big Bang ,02 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
03 Big Bang ,03 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
04 Big Bang ,04 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
05 Big Bang ,05 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
06 Big Bang ,06 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
07 Big Bang ,07 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
08 Big Bang ,08 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
09 Big Bang ,09 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
10 Big Bang ,10 Big Bang Batteries LLC,,Active,Direct Material,85214 Big Bang Drive          ,Bad Axe,MI,48377,,606-567-3029        ,606-479-0366        ,,,85214 Big Bang Drive          ,Bad Axe,MI,48377,,,,,Net 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FedEx,,Tower,,,Direct Materials,,,,,,,,,,,,,,,,
