Part No,Revision,Operation No,Operation,Part Op Type,Suboperation,Net Weight,Standard Value,Minimum Inventory,Multiple,Standard Container Type,Standard Quantity,Operation Description,Label Format Key,Location,Bulletin,Minimum Quantity,Scrap,Shippable,Other Note,Active,Flowchart Symbol
01 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
02 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
03 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
04 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
05 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
06 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
07 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
08 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
09 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
10 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
11 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
12 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
13 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
14 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
15 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
16 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
17 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
18 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
19 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
20 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
21 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
22 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
23 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
24 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
25 Key Fob,,10,Assembly and Pack,Production,,0.25,,,1,Carton,5,Press Battery and Circuit Board onto Plastic Case,,,,,,,,1,Operation with inspection
01 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 01,,,,,,1,Operation with inspection
02 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 02,,,,,,1,Operation with inspection
03 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 03,,,,,,1,Operation with inspection
04 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 04,,,,,,1,Operation with inspection
05 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 05,,,,,,1,Operation with inspection
06 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 06,,,,,,1,Operation with inspection
07 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 07,,,,,,1,Operation with inspection
08 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 08,,,,,,1,Operation with inspection
09 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 09,,,,,,1,Operation with inspection
10 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 10,,,,,,1,Operation with inspection
11 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 11,,,,,,1,Operation with inspection
12 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 12,,,,,,1,Operation with inspection
13 Key Fob,,20,Screen Printing,Production,,0.25,,,1,Carton,5,Screen Printing at outside processor,,WHSE 13,,,,,,1,Operation with inspection
