Part No,Revision,Operation No,Operation,Workcenter Code,New Workcenter Code,Crew Size,Standard Production Rate,Note,Lead Time,Setup Time,Ideal Rate,Target Rate,Setup Crew Size,Inspector Crew Size,Cycle Time,Batch Cycle Time,Batch Size,Expected Performance,Minimum Performance,Effective Date,Sort Order,Schedule,Input Yield Percentage,Input Fixed Loss,Output Yield Percentage,Output Fixed Loss
01 Key Fob,,10,Assembly and Pack,01 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
02 Key Fob,,10,Assembly and Pack,02 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
03 Key Fob,,10,Assembly and Pack,03 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
04 Key Fob,,10,Assembly and Pack,04 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
05 Key Fob,,10,Assembly and Pack,05 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
06 Key Fob,,10,Assembly and Pack,06 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
07 Key Fob,,10,Assembly and Pack,07 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
08 Key Fob,,10,Assembly and Pack,08 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
09 Key Fob,,10,Assembly and Pack,09 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
10 Key Fob,,10,Assembly and Pack,10 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
11 Key Fob,,10,Assembly and Pack,11 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
12 Key Fob,,10,Assembly and Pack,12 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
13 Key Fob,,10,Assembly and Pack,13 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
14 Key Fob,,10,Assembly and Pack,14 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
15 Key Fob,,10,Assembly and Pack,15 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
16 Key Fob,,10,Assembly and Pack,16 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
17 Key Fob,,10,Assembly and Pack,17 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
18 Key Fob,,10,Assembly and Pack,18 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
19 Key Fob,,10,Assembly and Pack,19 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
20 Key Fob,,10,Assembly and Pack,20 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
21 Key Fob,,10,Assembly and Pack,21 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
22 Key Fob,,10,Assembly and Pack,22 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
23 Key Fob,,10,Assembly and Pack,23 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
24 Key Fob,,10,Assembly and Pack,24 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
25 Key Fob,,10,Assembly and Pack,25 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
01 Plastic Case,,10,Press,01 Press,,1,100,,,0,,,,,,,,,,,,,,,,
02 Plastic Case,,10,Press,02 Press,,1,100,,,0,,,,,,,,,,,,,,,,
03 Plastic Case,,10,Press,03 Press,,1,100,,,0,,,,,,,,,,,,,,,,
04 Plastic Case,,10,Press,04 Press,,1,100,,,0,,,,,,,,,,,,,,,,
05 Plastic Case,,10,Press,05 Press,,1,100,,,0,,,,,,,,,,,,,,,,
06 Plastic Case,,10,Press,06 Press,,1,100,,,0,,,,,,,,,,,,,,,,
