Part No,Revision,Operation No,Operation,Supplier Code,New Supplier Code,Lead Time,Transit Time,Price,Price Unit,Supplier Part No,Price Conversion,Cycle Time,Business Percentage,MRPFirm Days,MRPPlan Days,MRPForecast Days,UPCCode,Note,Sort Order,Container Reservation Required
01 Key Fob,,20,Screen Printing,01 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
02 Key Fob,,20,Screen Printing,02 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
03 Key Fob,,20,Screen Printing,03 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
04 Key Fob,,20,Screen Printing,04 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
05 Key Fob,,20,Screen Printing,05 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
06 Key Fob,,20,Screen Printing,06 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
07 Key Fob,,20,Screen Printing,07 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
08 Key Fob,,20,Screen Printing,08 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
09 Key Fob,,20,Screen Printing,09 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
10 Key Fob,,20,Screen Printing,10 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
11 Key Fob,,20,Screen Printing,11 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
12 Key Fob,,20,Screen Printing,12 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
13 Key Fob,,20,Screen Printing,13 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
14 Key Fob,,20,Screen Printing,14 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
15 Key Fob,,20,Screen Printing,15 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
16 Key Fob,,20,Screen Printing,16 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
17 Key Fob,,20,Screen Printing,17 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
18 Key Fob,,20,Screen Printing,18 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
19 Key Fob,,20,Screen Printing,19 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
20 Key Fob,,20,Screen Printing,20 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
21 Key Fob,,20,Screen Printing,21 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
22 Key Fob,,20,Screen Printing,22 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
23 Key Fob,,20,Screen Printing,23 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
24 Key Fob,,20,Screen Printing,24 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
25 Key Fob,,20,Screen Printing,25 Dark Matter Printing,,,,0.5,Pcs,,,,,,,,,,,
