Part No,Revision,Operation No,Operation Code,Component Part No,Component Revision,Quantity,Component Type,Note,Validate,Auto Deplete,Transfer Heat,Unit Conversion,Min Quantity,Max Quantity,Fixed Quantity,Sort Order,Position,Scaling,Engineering Quantity,Fixed Loss,Yield Percentage
01 Key Fob,,10,Assembly and Pack,01 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
02 Key Fob,,10,Assembly and Pack,02 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
03 Key Fob,,10,Assembly and Pack,03 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
04 Key Fob,,10,Assembly and Pack,04 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
05 Key Fob,,10,Assembly and Pack,05 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
06 Key Fob,,10,Assembly and Pack,06 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
07 Key Fob,,10,Assembly and Pack,07 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
08 Key Fob,,10,Assembly and Pack,08 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
09 Key Fob,,10,Assembly and Pack,09 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
10 Key Fob,,10,Assembly and Pack,10 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
11 Key Fob,,10,Assembly and Pack,11 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
12 Key Fob,,10,Assembly and Pack,12 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
13 Key Fob,,10,Assembly and Pack,13 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
14 Key Fob,,10,Assembly and Pack,14 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
15 Key Fob,,10,Assembly and Pack,15 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
16 Key Fob,,10,Assembly and Pack,16 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
17 Key Fob,,10,Assembly and Pack,17 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
18 Key Fob,,10,Assembly and Pack,18 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
19 Key Fob,,10,Assembly and Pack,19 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
20 Key Fob,,10,Assembly and Pack,20 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
21 Key Fob,,10,Assembly and Pack,21 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
22 Key Fob,,10,Assembly and Pack,22 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
23 Key Fob,,10,Assembly and Pack,23 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
24 Key Fob,,10,Assembly and Pack,24 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
25 Key Fob,,10,Assembly and Pack,25 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
01 Key Fob,,10,Assembly and Pack,01 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
02 Key Fob,,10,Assembly and Pack,02 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
03 Key Fob,,10,Assembly and Pack,03 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
04 Key Fob,,10,Assembly and Pack,04 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
05 Key Fob,,10,Assembly and Pack,05 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
06 Key Fob,,10,Assembly and Pack,06 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
07 Key Fob,,10,Assembly and Pack,07 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
