Part No,Revision,Specification No,Description,Specification Type,Target,Plus,Minus,One Sided Min Value,One Sided Max Value,Numeric Precision,Unit,Note,SPC,Active,Customer Specified,Dock Audit,Above UCLX,Above UCLR,Below LCLX,Below LCLR,Run Length X,Run Length R,Run Above Mean X,Run Above Mean R,Run Below Mean X,Run Below Mean R,Trend Length,Trend,Importance,Workcenter Code,Value Text,Dropdown Values,Tolerance Type,Specification Dimension Type,Gage Type,PLC Name,Target Value Display
01 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
02 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
03 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
04 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
05 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
06 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
07 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
08 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
09 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
10 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
11 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
12 Key Fob,,1,Case Gap,Product,10,2,2,,,3,mm,,,Y,Y,,Y,Y,Y,Y,7,7,Y,Y,Y,Y,7,Y,,,,,Two Sided,,Calipers,,
