Supplier Serial Number,Part,Rev,Operation,Material,Heat,Location,Status,Defect Type,Container Type,Quantity,Tare Weight,Gross Weight,Net Weight,From Container,Active,Note,Lot Number,Master Unit No,Special Instructions,Containers,Size,Length,Tracking No,Job Operation,Job Number,Shelf Date,Cost,Customer Code,Container Mill Status,Class,Mill Coil No,OSPCoil No,Mill Order No,Mill Item No,Theoretical Weight,Mill Weight,Heat Code,Received Heat No,Release Number,Shipper Number,SCACCode,Thickness,Width,EDIKey,Actual Quantity,Job No,Supplier No,Rescale Flag,Original Scale Weight,Original Length,Proof,Proof Volume,Manufacturer Part No,Manufacturer Part Revision,Accounting Job No
,01 Circuit Board,,Receive pcs,,,WHSE 01,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 Circuit Board,,Receive pcs,,,WHSE 02,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03 Circuit Board,,Receive pcs,,,WHSE 03,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04 Circuit Board,,Receive pcs,,,WHSE 04,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05 Circuit Board,,Receive pcs,,,WHSE 05,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06 Circuit Board,,Receive pcs,,,WHSE 06,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07 Circuit Board,,Receive pcs,,,WHSE 07,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08 Circuit Board,,Receive pcs,,,WHSE 08,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09 Circuit Board,,Receive pcs,,,WHSE 09,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 Circuit Board,,Receive pcs,,,WHSE 10,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11 Circuit Board,,Receive pcs,,,WHSE 11,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12 Circuit Board,,Receive pcs,,,WHSE 12,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13 Circuit Board,,Receive pcs,,,WHSE 13,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14 Circuit Board,,Receive pcs,,,WHSE 14,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 Circuit Board,,Receive pcs,,,WHSE 15,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16 Circuit Board,,Receive pcs,,,WHSE 16,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 Circuit Board,,Receive pcs,,,WHSE 17,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18 Circuit Board,,Receive pcs,,,WHSE 18,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19 Circuit Board,,Receive pcs,,,WHSE 19,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 Circuit Board,,Receive pcs,,,WHSE 20,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21 Circuit Board,,Receive pcs,,,WHSE 21,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22 Circuit Board,,Receive pcs,,,WHSE 22,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23 Circuit Board,,Receive pcs,,,WHSE 23,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24 Circuit Board,,Receive pcs,,,WHSE 24,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 Circuit Board,,Receive pcs,,,WHSE 25,OK,,Box,10,0,3,0,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 PS Resin,,Receive lbs,,,WHSE 01,OK,,Box,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 PS Resin,,Receive lbs,,,WHSE 02,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03 PS Resin,,Receive lbs,,,WHSE 03,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04 PS Resin,,Receive lbs,,,WHSE 04,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05 PS Resin,,Receive lbs,,,WHSE 05,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06 PS Resin,,Receive lbs,,,WHSE 06,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07 PS Resin,,Receive lbs,,,WHSE 07,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08 PS Resin,,Receive lbs,,,WHSE 08,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09 PS Resin,,Receive lbs,,,WHSE 09,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 PS Resin,,Receive lbs,,,WHSE 10,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11 PS Resin,,Receive lbs,,,WHSE 11,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12 PS Resin,,Receive lbs,,,WHSE 12,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13 PS Resin,,Receive lbs,,,WHSE 13,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14 PS Resin,,Receive lbs,,,WHSE 14,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 PS Resin,,Receive lbs,,,WHSE 15,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16 PS Resin,,Receive lbs,,,WHSE 16,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 PS Resin,,Receive lbs,,,WHSE 17,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18 PS Resin,,Receive lbs,,,WHSE 18,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19 PS Resin,,Receive lbs,,,WHSE 19,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 PS Resin,,Receive lbs,,,WHSE 20,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21 PS Resin,,Receive lbs,,,WHSE 21,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22 PS Resin,,Receive lbs,,,WHSE 22,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23 PS Resin,,Receive lbs,,,WHSE 23,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24 PS Resin,,Receive lbs,,,WHSE 24,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 PS Resin,,Receive lbs,,,WHSE 25,OK,,Bag,1000,0,1000,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
