PFMEA ID Number,Process Step,Operation No,Process Work Element 4M Type,Process Work Element,Product Characteristic Item,Product Characteristic Description,Product Characteristic Part Spec No,Create Product Characteristic Part Specification,Function of the Process Step,Function of the Process Work Element,Process Characteristic Item,Process Characteristic Description,Process Characteristic Part Spec No,Your Plant Failure Effect,Ship To Plant Failure Effect,End User Failure Effect,Failure Mode (FM) of the Process Step,Severity (S) of FE,Failure Cause (FC) of the Work Element,Current Prevention Control (PC) of FC,Occurrence (O) of FC,Current Detection Controls (DC) of FC or FM,Detection (D) of FC/FM,Special Characteristics
02KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
02KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
02KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
03KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
03KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
03KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
04KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
04KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
04KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
05KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
